button_text_increase_value	Increase value
button_text_decrease_value	Decrease value
button_text_close_window	Close window
rarity_name_normal	Normal
rarity_name_magic	Magic
rarity_name_rare	Rare
rarity_name_unique	Unique
name_of_suffix/prefix	Name of suffix/prefix (press to change)
name_of_class	Name of class (press to change)
name_of_prophecy	Name of prophecy (press to change)
press_me	=Press me=
open_loot_filter	Open loot filter
save_loot_filter	Save loot filter
create_new_loot_filter	Create new loot filter
text_hue	Hue
text_saturation	Saturation
text_brightness	Brightness
text_alpha	Alpha
text_font_size	Font size
text_sound_volume	Sound volume
text_scroll	Scroll
text_default_sound	Select default sound
description_default_sound	Select default in-game sound
text_custom_sound	Custom sound
desciption_custom_sound	Select user sound from "my games/Path of Exile" folder
button_add_explicit_group	New explicit group
description_add_explicit_group	Add new list of suffix/prefix name
button_activate_class	Enable class list
description_activate_class	Enable list of base class (boot, currency, map, etc.)
button_activate_prophecy	Enable prophecy list
description_activate_prophecy	Enable list of prophecies names
button_new_filter_item	Add new item
description_button_visual_mode	Configue text size, colors, minimap icon, and sounds
description_play_sound	Play drop sound
description_new_base_data_vertical_list	Add new block parameter (class, prophecies, affixes)
description_new_EPC	Add new explicits/classes/prophecies list
base_data_text_rarity	Rarity
base_data_text_level	Level
base_data_text_req_level	Required level
base_data_text_sockets	Sockets
base_data_text_links	Links
base_data_text_sockets_colour	Socket colour
base_data_text_quality	Item quality
base_data_text_gem_level	Gem level
base_data_text_map_tier	Map tier
base_data_text_shaper_map	Is shaper map
base_data_text_elder_map	Is elder map
base_data_text_height	Item height
base_data_text_width	Item width
base_data_text_quantity	Quantity
base_data_text_corrupted	Is corrupted
base_data_text_shaper_item	Is Shaper item
base_data_text_elder_item	Is Elder item
base_data_text_synthesis	Is synthesised
base_data_text_fractured	Is fractured
base_data_text_enchanted	Is enchanted
base_data_text_identified	Is Identified
description_remove_explicit_group	Remove explicit list
description_add_new_explicit_group_list	Add new list of suffixes/affixes
description_add_new_class	Add new list of item classes (gloves/currency/map/etc.)
description_add_new_prophecy	Add new list of prophecies name
description_remove_class	Remove list of item class
description_remove_prophecies	Remove list of prophecies name
description_show_hide_block	Show/hide filter block
description_raise_block	Raise block up
description_lower_block	Lower block down
description_add_new_filter_block	And new filter block
description_remove_block	REMOVE block
description_click_to_edit	Click to edit
description_new_base_data	Add new base filter block data (rarity, itemlevel, etc.)
button_set_ray_is_tempotary	Temporary ray
description_tempotary_ray	Make loot ray temporary
button_add_explicit_group	Add explicit group
description_add_explicit_group	Add new group of suffixes/prefixes
button_set_ray_is_constant	Constant ray
description_set_ray_is_constant	Make ray constant
button_cancel_remove_filter_block	Cancel removing!
description_cancel_remove_filter_block	Cancel remove block process
description_new_loot_filter_name	Input name of loot filter
hint_new_loot_filter_name	Loot filter name
button_new_loot_filter_ok	OK
description_new_loot_filter_ok	Create new loot filter
description_minimap_icon_select_shape	Select minimap icon shape
description_minimap_icon_select_color	Select minimap icon color
description_minimap_icon_select_size	Select minimap icon size
text_minimap_icon_select_size_big	Big
description_minimap_icon_select_size_big	Make minimap icon size big
text_minimap_icon_select_size_medium	Medium
description_minimap_icon_select_size_medium	Make minimap icon size medium
text_minimap_icon_select_size_small	Small
description_minimap_icon_select_size_small	Make minimap icon size small
description_set_ray_color	Set ray color
description_set_ray_deactivate	Deactivate loot ray
text_border_color	Border color
text_text_color	Font color
text_bg_color	Background color
text_text_size	Font size
description_increase_red_socket	Increase ammount of red socket
description_increase_green_socket	Increase ammount of green socket
description_increase_blue_socket	Increase ammount of blue socket
description_increase_white_socket	Increase ammount of white socket
description_decrease_red_socket	Decrease ammount of red socket
description_decrease_green_socket	Decrease ammount of green socket
description_decrease_blue_socket	Decrease ammount of blue socket
description_decrease_white_socket	Decrease ammount of white socket
description_scroll	Scroll ammount
hint_input_search_item	Input item name
cached_text_search	Search
hint_default_sound	Input default sound name
hint_custom_sound	Input user sound name
hint_input_base_class_name	Input base class name
hint_input_prophecy_name	Input prophecy name
help_right_click_play_sound	Press right mouse button on button to play sound
help_open_loot_filter_window	List of lootfilter's from "my games/Path of Exile"
hint_input_filter_block_search	Search text
description_open_loot_simulator_window	Open loot simulator window
description_configue_font	Configue font
description_configue_language	Configue language
text_open_loot_simulator_pattern_window	Select loot pattern
description_open_loot_simulator_pattern_window	Load pattern config from disk
description_bright_bg	Set bright background
description_dark_bg	Set dark background
description_refresh_loot_simulator	Regenerate loot
text_accept	Accept
text_cancel	Cancel
window_text_unsaved_changes	WARNING! Unsaved changes! if you continue, all unsaved data lost.
