59 3 3 1 1 4 
493 31 5 14 0 13 4
109 59 7 6 1 13 6
0 31 11 14 1 13 9
266 0 11 16 1 14 9
433 0 16 14 1 13 14
84 17 13 14 1 13 11
151 59 5 6 1 13 3
222 0 6 17 0 13 5
228 0 6 17 0 13 5
101 59 8 7 1 13 6
490 45 11 9 1 10 9
166 59 4 6 0 2 4
248 59 7 3 1 5 5
260 59 4 3 0 2 4
451 31 7 14 1 13 4
11 31 11 14 1 13 9
458 31 7 14 0 13 9
242 31 10 14 1 13 9
22 31 11 14 1 13 9
33 31 11 14 1 13 9
44 31 11 14 1 13 9
55 31 11 14 1 13 9
66 31 11 14 1 13 9
77 31 11 14 1 13 9
88 31 11 14 1 13 9
486 45 4 11 0 10 4
498 31 4 14 0 10 4
501 45 11 9 1 10 9
79 59 11 7 1 9 9
0 59 11 9 1 10 9
99 31 11 14 1 13 9
0 0 18 17 1 13 16
97 17 13 14 1 13 11
110 31 11 14 0 13 11
279 17 12 14 0 13 12
291 17 12 14 0 13 12
121 31 11 14 0 13 11
132 31 11 14 0 13 10
110 17 13 14 0 13 12
303 17 12 14 0 13 12
502 31 4 14 0 13 4
372 31 9 14 1 13 8
315 17 12 14 0 13 11
252 31 10 14 0 13 9
123 17 13 14 0 13 13
327 17 12 14 0 13 12
136 17 13 14 0 13 12
143 31 11 14 0 13 11
295 0 14 15 1 13 12
149 17 13 14 0 13 12
339 17 12 14 1 13 11
351 17 12 14 1 13 10
363 17 12 14 0 13 12
496 0 14 14 2 13 11
382 0 17 14 1 13 15
162 17 13 14 1 13 11
175 17 13 14 1 13 11
375 17 12 14 1 13 10
234 0 6 17 0 13 4
465 31 7 14 1 13 4
240 0 6 17 1 13 4
70 59 9 8 1 13 8
224 59 13 3 2 -1 9
185 59 6 4 1 13 5
174 45 11 11 1 10 9
262 31 10 14 0 13 9
262 45 10 11 1 10 8
272 31 10 14 1 13 9
185 45 11 11 1 10 9
472 31 7 14 1 13 4
282 31 10 14 1 10 9
381 31 9 14 0 13 9
506 31 4 14 0 13 4
246 0 6 17 2 13 4
390 31 9 14 0 13 8
0 45 4 14 0 13 4
68 45 14 11 0 10 13
392 45 9 11 0 10 9
196 45 11 11 1 10 9
292 31 10 14 0 10 9
302 31 10 14 1 10 9
472 45 7 11 0 10 5
272 45 10 11 1 10 8
479 31 7 14 1 13 4
401 45 9 11 0 10 9
282 45 10 11 1 10 8
82 45 14 11 1 10 12
292 45 10 11 1 10 8
312 31 10 14 1 10 8
302 45 10 11 1 10 8
207 0 8 17 1 13 5
258 0 4 17 0 13 4
215 0 7 17 1 13 5
174 59 11 4 1 8 9
267 59 3 3 1 1 0
449 0 16 14 1 13 14
168 0 10 17 0 16 9
156 59 5 6 1 2 4
486 31 7 14 0 13 6
116 59 7 6 1 2 5
209 59 15 3 0 2 16
113 0 11 17 1 13 9
124 0 11 17 1 13 9
387 17 12 14 2 13 9
328 0 18 14 1 13 16
309 0 19 14 1 13 17
29 59 7 9 1 9 5
399 0 17 14 0 13 16
135 0 11 17 0 16 9
481 0 15 14 1 13 14
89 0 12 17 0 13 12
178 0 10 17 1 13 9
170 59 4 5 0 13 4
161 59 5 6 1 13 4
123 59 7 6 1 14 5
130 59 7 6 1 13 5
137 59 7 6 1 9 6
237 59 11 3 1 6 9
191 59 18 3 1 6 16
270 59 3 3 1 1 0
43 59 16 8 0 13 16
52 45 16 11 1 10 15
36 59 7 9 1 9 5
96 45 14 11 0 10 13
435 31 8 14 0 13 7
322 31 10 14 1 13 9
399 31 9 14 0 10 9
273 59 3 3 1 1 4
50 0 13 17 1 16 10
188 0 10 17 1 13 8
408 31 9 14 1 13 8
59 59 11 8 1 10 9
198 0 9 17 0 16 8
262 0 4 17 0 13 4
146 0 11 17 1 13 9
277 0 11 16 0 15 11
0 17 14 14 1 13 12
399 17 12 14 0 13 12
11 59 9 9 0 9 9
90 59 11 7 1 9 9
276 59 3 3 1 1 0
14 17 14 14 1 13 12
288 0 7 16 1 15 4
144 59 7 6 0 13 6
41 45 11 12 1 11 9
4 45 4 14 0 13 4
8 45 4 14 0 13 4
443 31 8 14 0 13 7
417 31 9 14 0 10 9
157 0 11 17 1 13 9
255 59 5 3 0 7 5
12 45 11 13 1 12 9
346 0 18 14 0 13 17
312 45 10 11 1 10 8
20 59 9 9 0 9 9
252 0 6 17 2 13 4
411 17 12 14 1 13 11
322 45 10 11 1 10 8
34 45 7 13 1 12 4
188 17 13 14 1 13 11
154 31 11 14 0 13 11
165 31 11 14 0 13 11
332 31 10 14 0 13 9
63 0 13 17 1 13 11
176 31 11 14 0 13 11
364 0 18 14 2 13 15
187 31 11 14 1 13 10
423 17 12 14 0 13 12
101 0 12 17 0 16 12
198 31 11 14 0 13 9
435 17 12 14 1 13 11
201 17 13 14 0 13 13
447 17 12 14 0 13 12
214 17 13 14 0 13 12
459 17 12 14 0 13 12
209 31 11 14 0 13 11
471 17 12 14 0 13 12
483 17 12 14 1 13 10
227 17 13 14 1 13 10
28 17 14 14 1 13 12
240 17 13 14 1 13 11
76 0 13 17 0 13 12
495 17 12 14 1 13 11
465 0 16 14 1 13 15
